,RouteID,FromStop,ToStop,Departure,Arrival,TravelTimeMin
58,CR-Fitchburg,North Station,Waltham,2016-02-22 20:48:46,2016-02-22 21:09:17,20.516666666666666
59,CR-Fitchburg,North Station,Waltham,2016-02-23 17:09:01,2016-02-23 17:29:19,20.3
60,CR-Fitchburg,North Station,Waltham,2016-02-23 17:53:28,2016-02-23 18:12:01,18.55
61,CR-Fitchburg,North Station,Waltham,2016-02-24 17:08:01,2016-02-24 17:28:34,20.55
62,CR-Fitchburg,North Station,Waltham,2016-02-24 20:47:38,2016-02-24 21:06:41,19.05
63,CR-Fitchburg,North Station,Waltham,2016-02-25 17:34:31,2016-02-25 17:55:02,20.516666666666666
64,CR-Fitchburg,North Station,Waltham,2016-02-25 18:24:31,2016-02-25 18:50:21,25.833333333333332
65,CR-Fitchburg,North Station,Waltham,2016-02-25 20:52:18,2016-02-25 21:16:19,24.016666666666666
66,CR-Fitchburg,North Station,Waltham,2016-02-26 18:22:41,2016-02-26 18:44:51,22.166666666666668
67,CR-Fitchburg,North Station,Waltham,2016-02-27 20:04:52,2016-02-27 20:23:24,18.533333333333335
68,CR-Fitchburg,North Station,Waltham,2016-02-28 20:06:26,2016-02-28 20:23:35,17.15
69,CR-Fitchburg,North Station,Waltham,2016-03-02 20:50:33,2016-03-02 21:09:20,18.783333333333335
70,CR-Fitchburg,North Station,Waltham,2016-03-03 19:51:31,2016-03-03 20:13:49,22.3
71,CR-Fitchburg,North Station,Waltham,2016-03-04 17:32:29,2016-03-04 17:51:32,19.05
72,CR-Fitchburg,North Station,Waltham,2016-03-04 17:51:46,2016-03-04 18:15:49,24.05
73,CR-Fitchburg,North Station,Waltham,2016-03-04 19:53:32,2016-03-04 20:14:19,20.783333333333335
74,CR-Fitchburg,North Station,Waltham,2016-03-07 17:33:00,2016-03-07 17:54:02,21.033333333333335
75,CR-Fitchburg,North Station,Waltham,2016-03-08 20:50:03,2016-03-08 21:10:33,20.5
76,CR-Fitchburg,North Station,Waltham,2016-03-09 17:52:24,2016-03-09 18:12:56,20.533333333333335
77,CR-Fitchburg,North Station,Waltham,2016-03-10 17:09:23,2016-03-10 17:29:10,19.783333333333335
78,CR-Fitchburg,North Station,Waltham,2016-03-10 18:22:50,2016-03-10 18:43:22,20.533333333333335
79,CR-Fitchburg,North Station,Waltham,2016-03-11 17:08:00,2016-03-11 17:28:01,20.016666666666666
80,CR-Fitchburg,North Station,Waltham,2016-03-11 19:51:28,2016-03-11 20:13:46,22.3
81,CR-Fitchburg,North Station,Waltham,2016-03-21 17:53:22,2016-03-21 18:11:53,18.516666666666666
82,CR-Fitchburg,North Station,Waltham,2016-03-22 19:59:40,2016-03-22 20:20:27,20.783333333333335
83,CR-Fitchburg,North Station,Waltham,2016-03-22 20:49:41,2016-03-22 21:08:12,18.516666666666666
84,CR-Fitchburg,North Station,Waltham,2016-03-23 17:32:09,2016-03-23 17:56:12,24.05
85,CR-Fitchburg,North Station,Waltham,2016-03-24 20:48:53,2016-03-24 21:09:25,20.533333333333335
86,CR-Fitchburg,North Station,Waltham,2016-03-25 20:49:11,2016-03-25 21:07:58,18.783333333333335
87,CR-Fitchburg,North Station,Waltham,2016-03-26 18:02:19,2016-03-26 18:23:21,21.033333333333335
88,CR-Fitchburg,North Station,Waltham,2016-03-26 20:02:47,2016-03-26 20:23:20,20.55
89,CR-Fitchburg,North Station,Waltham,2016-03-28 20:50:56,2016-03-28 21:07:58,17.033333333333335
90,CR-Fitchburg,North Station,Waltham,2016-03-29 20:48:28,2016-03-29 21:07:29,19.016666666666666
91,CR-Fitchburg,North Station,Waltham,2016-03-30 20:47:52,2016-03-30 21:09:53,22.016666666666666
92,CR-Fitchburg,North Station,Waltham,2016-03-31 20:47:41,2016-03-31 21:08:12,20.516666666666666
93,CR-Fitchburg,North Station,Waltham,2016-04-01 17:33:02,2016-04-01 17:51:34,18.533333333333335
94,CR-Fitchburg,North Station,Waltham,2016-04-01 19:53:32,2016-04-01 20:16:05,22.55
95,CR-Fitchburg,North Station,Waltham,2016-04-04 17:32:32,2016-04-04 17:51:03,18.516666666666666
96,CR-Fitchburg,North Station,Waltham,2016-04-05 19:53:18,2016-04-05 20:13:42,20.4
97,CR-Fitchburg,North Station,Waltham,2016-04-05 20:51:30,2016-04-05 21:08:32,17.033333333333335
98,CR-Fitchburg,North Station,Waltham,2016-04-06 17:33:49,2016-04-06 17:52:21,18.533333333333335
99,CR-Fitchburg,North Station,Waltham,2016-04-07 17:55:18,2016-04-07 18:19:37,24.316666666666666
100,CR-Fitchburg,North Station,Waltham,2016-04-08 20:50:52,2016-04-08 21:11:25,20.55
101,CR-Fitchburg,North Station,Waltham,2016-04-09 20:02:28,2016-04-09 20:21:30,19.033333333333335
102,CR-Fitchburg,North Station,Waltham,2016-04-11 17:52:10,2016-04-11 18:11:11,19.016666666666666
103,CR-Fitchburg,North Station,Waltham,2016-04-11 19:52:25,2016-04-11 20:12:56,20.516666666666666
104,CR-Fitchburg,North Station,Waltham,2016-04-12 17:08:01,2016-04-12 17:28:33,20.533333333333335
105,CR-Fitchburg,North Station,Waltham,2016-04-12 19:52:45,2016-04-12 20:14:46,22.016666666666666
106,CR-Fitchburg,North Station,Waltham,2016-04-12 20:47:17,2016-04-12 21:08:18,21.016666666666666
107,CR-Fitchburg,North Station,Waltham,2016-04-13 20:51:08,2016-04-13 21:08:12,17.066666666666666
108,CR-Fitchburg,North Station,Waltham,2016-04-14 17:33:25,2016-04-14 17:52:13,18.8
109,CR-Fitchburg,North Station,Waltham,2016-04-18 17:32:08,2016-04-18 17:51:09,19.016666666666666
110,CR-Fitchburg,North Station,Waltham,2016-04-19 17:33:27,2016-04-19 17:52:28,19.016666666666666
111,CR-Fitchburg,North Station,Waltham,2016-04-19 17:54:00,2016-04-19 18:13:00,19.0
112,CR-Fitchburg,North Station,Waltham,2016-04-19 18:23:17,2016-04-19 18:43:50,20.55
113,CR-Fitchburg,North Station,Waltham,2016-04-19 19:52:13,2016-04-19 20:14:45,22.533333333333335
114,CR-Fitchburg,North Station,Waltham,2016-04-20 17:32:36,2016-04-20 17:53:08,20.533333333333335
115,CR-Fitchburg,North Station,Waltham,2016-04-20 18:07:00,2016-04-20 18:25:55,18.916666666666668
116,CR-Fitchburg,North Station,Waltham,2016-04-21 18:23:36,2016-04-21 18:43:53,20.283333333333335
117,CR-Fitchburg,North Station,Waltham,2016-04-22 17:53:44,2016-04-22 18:21:24,27.666666666666668
118,CR-Fitchburg,North Station,Waltham,2016-04-22 18:24:34,2016-04-22 18:50:34,26.0
119,CR-Fitchburg,North Station,Waltham,2016-04-22 19:52:14,2016-04-22 20:14:32,22.3
120,CR-Fitchburg,North Station,Waltham,2016-04-22 20:50:38,2016-04-22 21:11:10,20.533333333333335
121,CR-Fitchburg,North Station,Waltham,2016-04-24 20:02:19,2016-04-24 20:24:20,22.016666666666666
122,CR-Fitchburg,North Station,Waltham,2016-04-25 17:31:59,2016-04-25 17:50:30,18.516666666666666
123,CR-Fitchburg,North Station,Waltham,2016-04-26 20:51:00,2016-04-26 21:09:31,18.516666666666666
124,CR-Fitchburg,North Station,Waltham,2016-04-27 17:31:49,2016-04-27 17:50:53,19.066666666666666
125,CR-Fitchburg,North Station,Waltham,2016-04-27 17:52:14,2016-04-27 18:14:46,22.533333333333335
126,CR-Fitchburg,North Station,Waltham,2016-04-27 20:52:40,2016-04-27 21:11:41,19.016666666666666
127,CR-Fitchburg,North Station,Waltham,2016-04-28 17:08:47,2016-04-28 17:29:21,20.566666666666666
